product_name,category,taxa_30p,volume_contratos,valor_total,valor_em_risco
Empréstimo Arc Reactor,Consórcio,3.57,140,4970804.22,64261.45
Crédito Kamar-Taj,Consórcio,1.33,150,5216345.19,46719.079999999994
Investimento Infinity,Financiamento,0.73,137,6162650.93,21686.51
Seguro Multiverso,Consórcio,0.61,165,5817449.37,17247.13
Consórcio Xandar,Investimentos,2.16,139,682253.73,12409.0
Seguro Sokovia,Investimentos,2.7,148,737195.27,8257.89
Refinanciamento Mjölnir,Consórcio,0.82,122,4279484.75,7120.19
Plano Família Barton,Empréstimo,0.69,145,1753347.31,3971.9
Crédito Wakandano,Empréstimo,0.81,123,1495686.77,3197.8
Leasing Hulkbuster,Investimentos,0.74,136,668080.32,2371.52
Financiamento Blackbird,Investimentos,0.71,141,706629.13,1325.3
Cartão Spider,Seguro,0.7,142,109164.22,579.05
Financiamento Quinjet,Seguro,0.57,174,144668.65,454.99
Seguro Asgard,Conta,1.35,148,0.0,0.0
Cartão Vibranium,Conta,0.79,127,0.0,0.0
Consórcio Stark,Empréstimo,0.0,138,1617060.77,0.0
Crédito Pantera,Conta,0.63,158,0.0,0.0
Conta Digital SHIELD,Conta,0.75,134,0.0,0.0
Leasing Milano,Empréstimo,0.0,123,1481928.01,0.0
Financiamento Moto Ghost Rider,Consórcio,0.0,131,4775620.05,0.0
